idx,mapping_original_idx,sentenceId,start_ms_trimmed,end_ms_trimmed,duration_ms,weight,confidence,text
0,0,P0002_L0004_S0001,0.0,4400.0,4400.0,135.09154800000002,0.905349,ॐ भ॒द्रं कर्णे॑भिः श‍ृणु॒याम॑ देवाः।
1,1,P0002_L0004_S0002,4400.0,9200.0,4800.0,117.76091999999998,0.441161,भ॒द्रं प॑श्येमा॒क्षभि॒र्यज॑त्राः।
2,2,P0002_L0005_S0003,9200.0,14000.0,4800.0,145.59966,0.454232,स्थि॒रैरङ्गै᳚स्तुष्टु॒वाꣳ स॑स्त॒नूभिः॑।
3,3,P0002_L0005_S0004,14000.0,16000.0,2000.0,107.9781,0.228494,व्यशे॑म दे॒वहि॑तं॒ यदायुः॑।
4,4,P0002_L0006_S0005,16000.0,19600.0,3600.0,114.7884,0.453974,स्व॒स्ति न॒ इन्द्रो॑ वृ॒द्धश्र॑वाः।
5,5,P0002_L0006_S0006,19600.0,23248.0,3648.0,118.06728000000001,0.581398,स्व॒स्ति नः॑ पू॒षा वि॒श्ववे॑दाः।
6,6,P0002_L0007_S0007,23248.0,27344.0,4096.0,139.55249999999998,0.536833,स्व॒स्ति न॒स्तार्क्ष्यो॒ अरि॑ष्टनेमिः।
7,7,P0002_L0007_S0008,27344.0,31616.0,4272.0,153.50257499999998,0.563596,स्व॒स्ति नो॒ बृह॒स्पति॑र्दधातु॥
8,8,P0002_L0008_S0009,31616.0,36400.0,4784.0,158.86666875000003,0.584076,ॐ शान्तिः॒ शान्तिः॒ शान्तिः॑॥
9,9,P0002_L0009_S0010,36400.0,40400.0,4000.0,93.00852,0.471917,ॐ नम॑स्ते ग॒णप॑तये।
10,10,P0002_L0009_S0011,40400.0,45456.0,5056.0,111.60888,0.604146,त्वमे॒व प्र॒त्यक्षं॒ तत्त्व॑मसि।
11,11,P0002_L0010_S0012,45456.0,49600.0,4144.0,100.79328000000001,0.437908,त्वमे॒व के ॒वलं ॒ कर्ता॑ऽसि।
12,12,P0002_L0010_S0013,49600.0,52000.0,2400.0,99.55008,0.232355,त्वमे॒व के ॒वलं ॒ धर्ता॑ऽसि।
13,13,P0002_L0010_S0014,52000.0,53600.0,1600.0,98.37811200000003,0.439791,त्वमे॒व के ॒वलं ॒ हर्ता॑ऽसि।
14,14,P0002_L0011_S0015,53600.0,57200.0,3600.0,118.87349999999998,0.430313,त्वमेव सर्वं खल्विदं॑ ब्रह्मा॒सि।
15,15,P0002_L0011_S0016,57200.0,60800.0,3600.0,176.04675,0.453298,त्वं साक्षादात्मा॑ऽसि नि॒त्यम्॥
16,17,P0002_L0012_S0018,60800.0,64400.0,3600.0,51.17592,0.435848,ऋ॑तं व॒च्मि।
17,18,P0002_L0012_S0019,64400.0,68800.0,4400.0,68.16855,0.437677,स॑त्यं व॒च्मि॥
18,20,P0002_L0013_S0021,68800.0,71600.0,2800.0,64.93212000000001,0.233593,अ॒व त्वं॒ माम्।
19,21,P0002_L0013_S0022,71600.0,72608.0,1008.0,66.07302,0.556903,अव॑ व॒क्तारम्᳚।
20,22,P0002_L0013_S0023,72608.0,74608.0,2000.0,68.67432,0.470476,अव॑ श्रो॒तारम्᳚।
21,23,P0002_L0013_S0024,74608.0,76800.0,2192.0,66.0192,0.457507,अव॑ दा॒तारम्᳚।
22,24,P0002_L0013_S0025,76800.0,79200.0,2400.0,67.48476,0.447474,अव॑ धा॒तारम्᳚।
23,25,P0002_L0014_S0026,79200.0,82000.0,2800.0,123.83015999999998,0.480584,अवानूचानम॑व शि॒ष्यम्।
24,26,P0002_L0014_S0027,82000.0,84928.0,2928.0,78.80765999999998,0.509458,अव॑ प॒श्चात्ता᳚त्।
25,27,P0002_L0014_S0028,84928.0,87744.0,2816.0,75.05129999999998,0.496968,अव॑ पु॒रस्ता᳚त्।
26,28,P0002_L0014_S0029,87744.0,90800.0,3056.0,80.94527999999998,0.389011,अवोत्त॒रात्ता᳚त्।
27,29,P0002_L0015_S0030,90800.0,94080.0,3280.0,91.84589999999999,0.507104,अव॑ दक्षि॒णात्ता᳚त्।
28,30,P0002_L0015_S0031,94080.0,97600.0,3520.0,88.10471999999999,0.513328,अव॑ चो॒र्ध्वात्ता᳚त्।
29,31,P0002_L0015_S0032,97600.0,100608.0,3008.0,79.52387999999999,0.550005,अवाध॒रात्ता᳚त्।
30,32,P0002_L0016_S0033,100608.0,104320.0,3712.0,180.58584000000002,0.510049,सर्वतो मां पाहि पाहि॑ सम॒न्तात्॥
31,34,P0002_L0017_S0035,104320.0,108000.0,3680.0,108.68352,0.440393,त्वं वाङ्मय॑स्त्वं चिन्म॒यः।
32,35,P0002_L0017_S0036,108000.0,111648.0,3648.0,132.62351999999998,0.527104,त्वमानन्दमय॑स्त्वं ब्रह्म॒मयः।
33,36,P0002_L0017_S0037,111648.0,115200.0,3552.0,134.52894,0.508281,त्वं सच्चिदानन्दाऽद्वि॑तीयो॒ऽसि।
34,37,P0002_L0018_S0038,115200.0,120000.0,4800.0,81.49944,0.481413,त्वं प्र॒त्यक्षं॒ ब्रह्मा॑सि।
35,38,P0002_L0018_S0039,120000.0,123712.0,3712.0,158.1804,0.513748,त्वं ज्ञानमयो विज्ञान॑मयो॒ऽसि॥
36,40,P0002_L0019_S0041,123712.0,127776.0,4064.0,112.97690999999998,0.527772,सर्वं जगदिदं त्व॑त्तो जा॒यते।
