idx,sentenceId,text,start_ms_trimmed,end_ms_trimmed,duration_ms,exp_end_ms,obs_end_ms,drift_ms,drift_jump_ms,silence_width_ms,rms_db_at_end,contrast_db,confidence,weight
0,P0002_L0004_S0001,ॐ भ॒द्रं कर्णे॑भिः श‍ृणु॒याम॑ देवाः।,0.0,4400.0,4400.0,4115.214,4400.0,284.786,284.786,1648.0,-34.0453,-1.8353,0.897881,135.091548
1,P0002_L0004_S0002,भ॒द्रं प॑श्येमा॒क्षभि॒र्यज॑त्राः।,4400.0,9200.0,4800.0,7702.495,9200.0,1497.505,1212.719,528.0,-25.819,-7.9291,0.519171,117.76092
2,P0002_L0005_S0003,स्थि॒रैरङ्गै᳚स्तुष्टु॒वाꣳ स॑स्त॒नूभिः॑।,9200.0,14000.0,4800.0,12137.811,14000.0,1862.189,364.684,624.0,-25.3781,-13.2038,0.523175,145.59966
3,P0002_L0005_S0004,व्यशे॑म दे॒वहि॑तं॒ यदायुः॑।,14000.0,16000.0,2000.0,15427.084,16000.0,572.916,-1289.273,0.0,-17.9596,2.7737,0.336151,107.9781
4,P0002_L0006_S0005,स्व॒स्ति न॒ इन्द्रो॑ वृ॒द्धश्र॑वाः।,16000.0,19600.0,3600.0,18923.815,19600.0,676.185,103.269,640.0,-25.8345,-15.1667,0.520438,114.7884
5,P0002_L0006_S0006,स्व॒स्ति नः॑ पू॒षा वि॒श्ववे॑दाः।,19600.0,23248.0,3648.0,22520.428,23248.0,727.572,51.386,592.0,-31.3012,5.1972,0.648875,118.06728
6,P0002_L0007_S0007,स्व॒स्ति न॒स्तार्क्ष्यो॒ अरि॑ष्टनेमिः।,23248.0,27344.0,4096.0,26771.533,27344.0,572.467,-155.105,528.0,-30.6436,3.3632,0.611761,139.5525
7,P0002_L0007_S0008,स्व॒स्ति नो॒ बृह॒स्पति॑र्दधातु॥,27344.0,31616.0,4272.0,31447.591,31616.0,168.409,-404.058,576.0,-29.56,5.4256,0.635205,153.502575
8,P0002_L0008_S0009,ॐ शान्तिः॒ शान्तिः॒ शान्तिः॑॥,31616.0,36400.0,4784.0,36287.052,36400.0,112.948,-55.461,608.0,-31.7123,3.8278,0.649349,158.866669
9,P0002_L0009_S0010,ॐ नम॑स्ते ग॒णप॑तये।,36400.0,40400.0,4000.0,39120.315,40400.0,1279.685,1166.737,624.0,-26.3795,-11.2431,0.540444,93.00852
10,P0002_L0009_S0011,त्वमे॒व प्र॒त्यक्षं॒ तत्त्व॑मसि।,40400.0,45456.0,5056.0,42520.191,45456.0,2935.809,1656.125,656.0,-32.8049,2.1326,0.662956,111.60888
11,P0002_L0010_S0012,त्वमे॒व के ॒वलं ॒ कर्ता॑ऽसि।,45456.0,49600.0,4144.0,45590.596,49600.0,4009.404,1073.594,576.0,-26.26,-13.1406,0.509681,100.79328
12,P0002_L0010_S0013,त्वमे॒व के ॒वलं ॒ धर्ता॑ऽसि।,49600.0,52000.0,2400.0,48623.132,52000.0,3376.868,-632.535,0.0,-19.7966,1.5143,0.338831,99.55008
13,P0002_L0010_S0014,त्वमे॒व के ॒वलं ॒ हर्ता॑ऽसि।,52000.0,53600.0,1600.0,51619.966,53600.0,1980.034,-1396.834,592.0,-26.1594,-14.039,0.510081,98.378112
