idx,sentenceId,start_ms_trimmed,end_ms_trimmed,duration_ms,weight,confidence,text
0,P0002_L0004_S0001,0.0,4400.0,4400.0,135.09154800000002,0.897881,ॐ भ॒द्रं कर्णे॑भिः श‍ृणु॒याम॑ देवाः।
1,P0002_L0004_S0002,4400.0,9200.0,4800.0,117.76091999999998,0.519171,भ॒द्रं प॑श्येमा॒क्षभि॒र्यज॑त्राः।
2,P0002_L0005_S0003,9200.0,14000.0,4800.0,145.59966,0.523175,स्थि॒रैरङ्गै᳚स्तुष्टु॒वाꣳ स॑स्त॒नूभिः॑।
3,P0002_L0005_S0004,14000.0,16000.0,2000.0,107.9781,0.336151,व्यशे॑म दे॒वहि॑तं॒ यदायुः॑।
4,P0002_L0006_S0005,16000.0,19600.0,3600.0,114.7884,0.520438,स्व॒स्ति न॒ इन्द्रो॑ वृ॒द्धश्र॑वाः।
5,P0002_L0006_S0006,19600.0,23248.0,3648.0,118.06728000000001,0.648875,स्व॒स्ति नः॑ पू॒षा वि॒श्ववे॑दाः।
6,P0002_L0007_S0007,23248.0,27344.0,4096.0,139.55249999999998,0.611761,स्व॒स्ति न॒स्तार्क्ष्यो॒ अरि॑ष्टनेमिः।
7,P0002_L0007_S0008,27344.0,31616.0,4272.0,153.50257499999998,0.635205,स्व॒स्ति नो॒ बृह॒स्पति॑र्दधातु॥
8,P0002_L0008_S0009,31616.0,36400.0,4784.0,158.86666875000003,0.649349,ॐ शान्तिः॒ शान्तिः॒ शान्तिः॑॥
9,P0002_L0009_S0010,36400.0,40400.0,4000.0,93.00852,0.540444,ॐ नम॑स्ते ग॒णप॑तये।
10,P0002_L0009_S0011,40400.0,45456.0,5056.0,111.60888,0.662956,त्वमे॒व प्र॒त्यक्षं॒ तत्त्व॑मसि।
11,P0002_L0010_S0012,45456.0,49600.0,4144.0,100.79328000000001,0.509681,त्वमे॒व के ॒वलं ॒ कर्ता॑ऽसि।
12,P0002_L0010_S0013,49600.0,52000.0,2400.0,99.55008,0.338831,त्वमे॒व के ॒वलं ॒ धर्ता॑ऽसि।
13,P0002_L0010_S0014,52000.0,53600.0,1600.0,98.37811200000003,0.510081,त्वमे॒व के ॒वलं ॒ हर्ता॑ऽसि।
14,P0002_L0011_S0015,53600.0,57200.0,3600.0,118.87349999999998,0.504972,त्वमेव सर्वं खल्विदं॑ ब्रह्मा॒सि।
15,P0002_L0011_S0016,57200.0,60672.0,3472.0,176.04675,0.629274,त्वं साक्षादात्मा॑ऽसि नि॒त्यम्॥
16,P0002_L0011_S0017,60672.0,61600.0,928.0,1e-06,0.311216,१॥
17,P0002_L0012_S0018,61600.0,68800.0,7200.0,51.17592,0.507372,ऋ॑तं व॒च्मि।
18,P0002_L0012_S0019,68800.0,84000.0,15200.0,68.16855,0.30978,स॑त्यं व॒च्मि॥
19,P0002_L0012_S0020,84000.0,84928.0,928.0,1e-06,0.591443,२॥
20,P0002_L0013_S0021,84928.0,87744.0,2816.0,64.93212000000001,0.579398,अ॒व त्वं॒ माम्।
21,P0002_L0013_S0022,87744.0,90800.0,3056.0,66.07302,0.467057,अव॑ व॒क्तारम्᳚।
22,P0002_L0013_S0023,90800.0,94080.0,3280.0,68.67432,0.58705,अव॑ श्रो॒तारम्᳚।
