idx,original_idx,sentenceId,text,start_ms_trimmed,end_ms_trimmed,duration_ms,exp_end_ms,obs_end_ms,drift_ms,drift_jump_ms,silence_width_ms,rms_db_at_end,contrast_db,confidence,weight
0,0,P0002_L0004_S0001,ॐ भ॒द्रं कर्णे॑भिः श‍ृणु॒याम॑ देवाः।,0.0,4400.0,4400.0,4375.035,4400.0,24.965,24.965,1648.0,-34.0453,-1.8353,0.905349,135.091548
1,1,P0002_L0004_S0002,भ॒द्रं प॑श्येमा॒क्षभि॒र्यज॑त्राः।,4400.0,9200.0,4800.0,8188.805,9200.0,1011.195,986.23,528.0,-25.819,-7.9291,0.441161,117.76092
2,2,P0002_L0005_S0003,स्थि॒रैरङ्गै᳚स्तुष्टु॒वाꣳ स॑स्त॒नूभिः॑।,9200.0,14000.0,4800.0,12904.153,14000.0,1095.847,84.653,624.0,-25.3781,-13.2038,0.454232,145.59966
3,3,P0002_L0005_S0004,व्यशे॑म दे॒वहि॑तं॒ यदायुः॑।,14000.0,16000.0,2000.0,16401.099,16000.0,-401.099,-1496.947,0.0,-17.9596,2.7737,0.228494,107.9781
4,4,P0002_L0006_S0005,स्व॒स्ति न॒ इन्द्रो॑ वृ॒द्धश्र॑वाः।,16000.0,19600.0,3600.0,20118.602,19600.0,-518.602,-117.503,640.0,-25.8345,-15.1667,0.453974,114.7884
5,5,P0002_L0006_S0006,स्व॒स्ति नः॑ पू॒षा वि॒श्ववे॑दाः।,19600.0,23248.0,3648.0,23942.294,23248.0,-694.294,-175.692,592.0,-31.3012,5.1972,0.581398,118.06728
6,6,P0002_L0007_S0007,स्व॒स्ति न॒स्तार्क्ष्यो॒ अरि॑ष्टनेमिः।,23248.0,27344.0,4096.0,28461.8,27344.0,-1117.8,-423.506,528.0,-30.6436,3.3632,0.536833,139.5525
7,7,P0002_L0007_S0008,स्व॒स्ति नो॒ बृह॒स्पति॑र्दधातु॥,27344.0,31616.0,4272.0,33433.089,31616.0,-1817.089,-699.289,576.0,-29.56,5.4256,0.563596,153.502575
8,8,P0002_L0008_S0009,ॐ शान्तिः॒ शान्तिः॒ शान्तिः॑॥,31616.0,36400.0,4784.0,38578.098,36400.0,-2178.098,-361.009,608.0,-31.7123,3.8278,0.584076,158.866669
9,9,P0002_L0009_S0010,ॐ नम॑स्ते ग॒णप॑तये।,36400.0,40400.0,4000.0,41590.244,40400.0,-1190.244,987.854,624.0,-26.3795,-11.2431,0.471917,93.00852
10,10,P0002_L0009_S0011,त्वमे॒व प्र॒त्यक्षं॒ तत्त्व॑मसि।,40400.0,45456.0,5056.0,45204.777,45456.0,251.223,1441.468,656.0,-32.8049,2.1326,0.604146,111.60888
11,11,P0002_L0010_S0012,त्वमे॒व के ॒वलं ॒ कर्ता॑ऽसि।,45456.0,49600.0,4144.0,48469.038,49600.0,1130.962,879.739,576.0,-26.26,-13.1406,0.437908,100.79328
12,12,P0002_L0010_S0013,त्वमे॒व के ॒वलं ॒ धर्ता॑ऽसि।,49600.0,52000.0,2400.0,51693.037,52000.0,306.963,-823.999,0.0,-19.7966,1.5143,0.232355,99.55008
13,13,P0002_L0010_S0014,त्वमे॒व के ॒वलं ॒ हर्ता॑ऽसि।,52000.0,53600.0,1600.0,54879.082,53600.0,-1279.082,-1586.044,592.0,-26.1594,-14.039,0.439791,98.378112
14,14,P0002_L0011_S0015,त्वमेव सर्वं खल्विदं॑ ब्रह्मा॒सि।,53600.0,57200.0,3600.0,58728.884,57200.0,-1528.884,-249.802,544.0,-26.3063,-11.8541,0.430313,118.8735
15,15,P0002_L0011_S0016,त्वं साक्षादात्मा॑ऽसि नि॒त्यम्॥,57200.0,60800.0,3600.0,64430.281,60800.0,-3630.281,-2101.398,560.0,-28.0889,-11.2182,0.453298,176.04675
16,17,P0002_L0012_S0018,ऋ॑तं व॒च्मि।,60800.0,64400.0,3600.0,66087.65,64400.0,-1687.65,1942.632,544.0,-25.5743,-9.9578,0.435848,51.17592
17,18,P0002_L0012_S0019,स॑त्यं व॒च्मि॥,64400.0,68800.0,4400.0,68295.336,68800.0,504.664,2192.314,608.0,-25.2701,-14.7038,0.437677,68.16855
18,20,P0002_L0013_S0021,अ॒व त्वं॒ माम्।,68800.0,71600.0,2800.0,70398.208,71600.0,1201.792,697.128,0.0,-19.2568,2.4795,0.233593,64.93212
19,21,P0002_L0013_S0022,अव॑ व॒क्तारम्᳚।,71600.0,72608.0,1008.0,72538.03,72608.0,69.97,-1131.821,576.0,-29.6308,4.126,0.556903,66.07302
20,22,P0002_L0013_S0023,अव॑ श्रो॒तारम्᳚।,72608.0,74608.0,2000.0,74762.096,74608.0,-154.096,-224.066,416.0,-28.3245,3.8406,0.470476,68.67432
21,23,P0002_L0013_S0024,अव॑ दा॒तारम्᳚।,74608.0,76800.0,2192.0,76900.174,76800.0,-100.174,53.922,480.0,-28.0942,-3.6567,0.457507,66.0192
22,24,P0002_L0013_S0025,अव॑ धा॒तारम्᳚।,76800.0,79200.0,2400.0,79085.716,79200.0,114.284,214.459,464.0,-27.8409,-3.7961,0.447474,67.48476
23,25,P0002_L0014_S0026,अवानूचानम॑व शि॒ष्यम्।,79200.0,82000.0,2800.0,83096.042,82000.0,-1096.042,-1210.327,448.0,-29.54,1.45,0.480584,123.83016
24,26,P0002_L0014_S0027,अव॑ प॒श्चात्ता᳚त्।,82000.0,84928.0,2928.0,85648.284,84928.0,-720.284,375.758,480.0,-28.9473,4.6073,0.509458,78.80766
25,27,P0002_L0014_S0028,अव॑ पु॒रस्ता᳚त्।,84928.0,87744.0,2816.0,88078.873,87744.0,-334.873,385.411,464.0,-29.5713,2.9791,0.496968,75.0513
26,28,P0002_L0014_S0029,अवोत्त॒रात्ता᳚त्।,87744.0,90800.0,3056.0,90700.343,90800.0,99.657,434.53,512.0,-23.8074,-13.7274,0.389011,80.94528
27,29,P0002_L0015_S0030,अव॑ दक्षि॒णात्ता᳚त्।,90800.0,94080.0,3280.0,93674.837,94080.0,405.163,305.506,512.0,-27.9454,2.68,0.507104,91.8459
28,30,P0002_L0015_S0031,अव॑ चो॒र्ध्वात्ता᳚त्।,94080.0,97600.0,3520.0,96528.17,97600.0,1071.83,666.667,560.0,-29.3407,-1.9887,0.513328,88.10472
29,31,P0002_L0015_S0032,अवाध॒रात्ता᳚त्।,97600.0,100608.0,3008.0,99103.607,100608.0,1504.393,432.563,528.0,-32.2235,3.815,0.550005,79.52388
30,32,P0002_L0016_S0033,सर्वतो मां पाहि पाहि॑ सम॒न्तात्॥,100608.0,104320.0,3712.0,104952.007,104320.0,-632.007,-2136.4,496.0,-29.7408,2.3868,0.510049,180.58584
31,34,P0002_L0017_S0035,त्वं वाङ्मय॑स्त्वं चिन्म॒यः।,104320.0,108000.0,3680.0,108471.799,108000.0,-471.799,160.208,496.0,-27.7388,-7.6771,0.440393,108.68352
32,35,P0002_L0017_S0036,त्वमानन्दमय॑स्त्वं ब्रह्म॒मयः।,108000.0,111648.0,3648.0,112766.905,111648.0,-1118.905,-647.106,528.0,-30.365,1.9562,0.527104,132.62352
33,36,P0002_L0017_S0037,त्वं सच्चिदानन्दाऽद्वि॑तीयो॒ऽसि।,111648.0,115200.0,3552.0,117123.72,115200.0,-1923.72,-804.814,544.0,-30.226,-2.6047,0.508281,134.52894
34,37,P0002_L0018_S0038,त्वं प्र॒त्यक्षं॒ ब्रह्मा॑सि।,115200.0,120000.0,4800.0,119763.136,120000.0,236.864,2160.583,528.0,-28.7111,-4.2041,0.481413,81.49944
35,38,P0002_L0018_S0039,त्वं ज्ञानमयो विज्ञान॑मयो॒ऽसि॥,120000.0,123712.0,3712.0,124885.92,123712.0,-1173.92,-1410.784,480.0,-29.6963,4.464,0.513748,158.1804
36,40,P0002_L0019_S0041,सर्वं जगदिदं त्व॑त्तो जा॒यते।,123712.0,127776.0,4064.0,128544.757,127776.0,-768.757,405.163,512.0,-28.5758,5.6119,0.527772,112.97691
37,41,P0002_L0019_S0042,सर्वं जगदिदं त्व॑त्तस्ति॒ष्ठति।,127776.0,132128.0,4352.0,132178.489,132128.0,-50.489,718.268,576.0,-32.2274,5.3144,0.580747,112.20174
38,42,P0002_L0020_S0043,सर्वं जगदिदं त्वयि ल॑यमेष्य॒ति।,132128.0,135600.0,3472.0,136293.206,135600.0,-693.206,-642.717,576.0,-27.4941,-7.6615,0.476663,127.053495
39,43,P0002_L0020_S0044,सर्वं जगदिदं त्वयि॑ प्रत्ये॒ति।,135600.0,140000.0,4400.0,139920.083,140000.0,79.917,773.123,544.0,-26.9751,-9.1981,0.449444,111.99006
