idx,mapping_original_idx,sentenceId,start_ms_trimmed,end_ms_trimmed,duration_ms,weight,confidence,text
0,0,P0002_L0004_S0001,0.0,4400.0,4400.0,135.09154800000002,0.925735,ॐ भ॒द्रं कर्णे॑भिः श‍ृणु॒याम॑ देवाः।
1,1,P0002_L0004_S0002,4400.0,9200.0,4800.0,117.76091999999998,0.430682,भ॒द्रं प॑श्येमा॒क्षभि॒र्यज॑त्राः।
2,2,P0002_L0005_S0003,9200.0,14000.0,4800.0,145.59966,0.425879,स्थि॒रैरङ्गै᳚स्तुष्टु॒वाꣳ स॑स्त॒नूभिः॑।
3,3,P0002_L0005_S0004,14000.0,16000.0,2000.0,107.9781,0.21565,व्यशे॑म दे॒वहि॑तं॒ यदायुः॑।
4,4,P0002_L0006_S0005,16000.0,19360.0,3360.0,114.7884,0.597396,स्व॒स्ति न॒ इन्द्रो॑ वृ॒द्धश्र॑वाः।
5,5,P0002_L0006_S0006,19360.0,23440.0,4080.0,118.06728000000001,0.630931,स्व॒स्ति नः॑ पू॒षा वि॒श्ववे॑दाः।
6,6,P0002_L0007_S0007,23440.0,27328.0,3888.0,139.55249999999998,0.534674,स्व॒स्ति न॒स्तार्क्ष्यो॒ अरि॑ष्टनेमिः।
7,7,P0002_L0007_S0008,27328.0,31600.0,4272.0,153.50257499999998,0.545926,स्व॒स्ति नो॒ बृह॒स्पति॑र्दधातु॥
8,8,P0002_L0008_S0009,31600.0,36400.0,4800.0,158.86666875000003,0.738747,ॐ शान्तिः॒ शान्तिः॒ शान्तिः॑॥
9,9,P0002_L0009_S0010,36400.0,40400.0,4000.0,93.00852,0.466426,ॐ नम॑स्ते ग॒णप॑तये।
10,10,P0002_L0009_S0011,40400.0,45600.0,5200.0,111.60888,0.489982,त्वमे॒व प्र॒त्यक्षं॒ तत्त्व॑मसि।
11,11,P0002_L0010_S0012,45600.0,49600.0,4000.0,100.79328000000001,0.446924,त्वमे॒व के ॒वलं ॒ कर्ता॑ऽसि।
12,12,P0002_L0010_S0013,49600.0,52000.0,2400.0,99.55008,0.315519,त्वमे॒व के ॒वलं ॒ धर्ता॑ऽसि।
13,13,P0002_L0010_S0014,52000.0,53600.0,1600.0,98.37811200000003,0.419433,त्वमे॒व के ॒वलं ॒ हर्ता॑ऽसि।
14,14,P0002_L0011_S0015,53600.0,55600.0,2000.0,118.87349999999998,0.218575,त्वमेव सर्वं खल्विदं॑ ब्रह्मा॒सि।
15,15,P0002_L0011_S0016,55600.0,57200.0,1600.0,176.04675,0.411552,त्वं साक्षादात्मा॑ऽसि नि॒त्यम्॥
16,17,P0002_L0012_S0018,57200.0,59200.0,2000.0,51.17592,0.233175,ऋ॑तं व॒च्मि।
17,18,P0002_L0012_S0019,59200.0,60800.0,1600.0,68.16855,0.432707,स॑त्यं व॒च्मि॥
18,20,P0002_L0013_S0021,60800.0,62800.0,2000.0,64.93212000000001,0.227882,अ॒व त्वं॒ माम्।
19,21,P0002_L0013_S0022,62800.0,64400.0,1600.0,66.07302,0.425947,अव॑ व॒क्तारम्᳚।
20,22,P0002_L0013_S0023,64400.0,68560.0,4160.0,68.67432,0.578452,अव॑ श्रो॒तारम्᳚।
21,23,P0002_L0013_S0024,68560.0,71600.0,3040.0,66.0192,0.21757,अव॑ दा॒तारम्᳚।
22,24,P0002_L0013_S0025,71600.0,72592.0,992.0,67.48476,0.561575,अव॑ धा॒तारम्᳚।
23,25,P0002_L0014_S0026,72592.0,74592.0,2000.0,123.83015999999998,0.469177,अवानूचानम॑व शि॒ष्यम्।
24,26,P0002_L0014_S0027,74592.0,76800.0,2208.0,78.80765999999998,0.434275,अव॑ प॒श्चात्ता᳚त्।
25,27,P0002_L0014_S0028,76800.0,79200.0,2400.0,75.05129999999998,0.446462,अव॑ पु॒रस्ता᳚त्।
26,28,P0002_L0014_S0029,79200.0,82000.0,2800.0,80.94527999999998,0.465729,अवोत्त॒रात्ता᳚त्।
27,29,P0002_L0015_S0030,82000.0,84912.0,2912.0,91.84589999999999,0.50749,अव॑ दक्षि॒णात्ता᳚त्।
28,30,P0002_L0015_S0031,84912.0,87728.0,2816.0,88.10471999999999,0.495394,अव॑ चो॒र्ध्वात्ता᳚त्।
